                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65537,                0.39057,                0.82533,                0.99575,                0.98986,                0.99054,                 0.8775,                0.51915,                0.31368,                0.81239,             0.00093385,             0.00093385,             0.00093385
                     37,                0.63984,                0.38384,                0.82267,                0.99371,                0.98961,                 0.9917,                0.89467,                0.50522,                0.31648,                0.81064,              0.0009197,              0.0009197,              0.0009197
                     38,                0.66139,                 0.3907,                0.82863,                0.99518,                0.98357,                 0.9917,                0.89393,                0.50316,                 0.3182,                0.80995,             0.00090556,             0.00090556,             0.00090556
                     39,                0.63575,                0.38154,                0.81945,                0.99449,                0.99258,                0.99443,                0.89368,                0.48185,                0.30763,                0.80834,             0.00089141,             0.00089141,             0.00089141
                     40,                0.62897,                0.37785,                0.81901,                0.99214,                0.98671,                0.99109,                0.89459,                0.53523,                0.31548,                0.81521,             0.00087726,             0.00087726,             0.00087726
                     41,                0.62545,                0.37408,                0.81935,                 0.9917,                0.98865,                0.99206,                0.89475,                0.50352,                0.31607,                0.80963,             0.00086312,             0.00086312,             0.00086312
                     42,                 0.6252,                0.37695,                 0.8211,                0.99515,                0.98896,                0.99191,                0.89535,                0.50818,                0.30741,                0.81002,             0.00084897,             0.00084897,             0.00084897
                     43,                0.60193,                0.36033,                0.81592,                 0.9944,                0.98917,                0.99179,                0.88655,                0.50224,                 0.3097,                0.80998,             0.00083482,             0.00083482,             0.00083482
                     44,                0.59688,                0.36077,                0.81496,                0.99169,                0.98961,                0.99401,                0.90386,                0.47014,                0.29389,                 0.8084,             0.00082067,             0.00082067,             0.00082067
                     45,                0.58238,                0.35785,                0.81336,                0.99566,                0.98602,                0.99131,                0.91115,                0.47114,                0.29449,                0.80387,             0.00080653,             0.00080653,             0.00080653
                     46,                0.57506,                 0.3502,                0.81398,                0.99555,                 0.9891,                0.99343,                0.90771,                0.46525,                0.29015,                 0.8062,             0.00079238,             0.00079238,             0.00079238
                     47,                0.57927,                0.35027,                0.81298,                0.99404,                0.98961,                0.99215,                0.90117,                0.46729,                0.29023,                0.80917,             0.00077823,             0.00077823,             0.00077823
                     48,                0.57575,                0.34848,                0.81156,                 0.9939,                0.98726,                0.99453,                0.90791,                0.45995,                0.28721,                0.80471,             0.00076409,             0.00076409,             0.00076409
                     49,                0.57949,                0.35447,                0.81215,                0.99897,                0.98318,                0.99355,                0.91185,                0.46611,                0.29524,                0.80346,             0.00074994,             0.00074994,             0.00074994
                     50,                0.56747,                0.34656,                0.81471,                0.99784,                0.98571,                0.99199,                0.90815,                  0.454,                  0.285,                0.80223,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.5565,                0.33974,                0.81072,                0.99449,                0.99104,                0.99306,                0.91031,                0.46335,                0.29695,                0.80205,             0.00072164,             0.00072164,             0.00072164
                     52,                0.55296,                0.34151,                0.80592,                0.99791,                0.98381,                0.99362,                0.91371,                0.44679,                0.28306,                 0.8024,              0.0007075,              0.0007075,              0.0007075
                     53,                 0.5501,                0.33981,                0.80868,                0.99899,                0.98381,                0.99483,                0.90608,                0.45311,                0.27935,                0.80295,             0.00069335,             0.00069335,             0.00069335
                     54,                0.53857,                0.32898,                0.80948,                0.99558,                0.98588,                0.99415,                 0.9206,                0.44427,                0.27494,                0.80321,              0.0006792,              0.0006792,              0.0006792
                     55,                0.53591,                0.32869,                0.80239,                0.99516,                 0.9913,                0.99474,                0.91529,                0.43734,                0.27435,                0.80282,             0.00066506,             0.00066506,             0.00066506
                     56,                0.54081,                0.33328,                0.80401,                0.99563,                0.98961,                0.99194,                0.92415,                0.42913,                0.26848,                0.80002,             0.00065091,             0.00065091,             0.00065091
                     57,                0.53406,                0.32931,                0.80634,                0.99522,                0.98957,                0.99209,                0.92353,                0.42539,                0.26419,                0.79748,             0.00063676,             0.00063676,             0.00063676
                     58,                 0.5275,                0.32355,                0.80666,                0.99843,                0.98649,                0.99392,                0.90725,                0.45396,                0.28023,                0.80206,             0.00062262,             0.00062262,             0.00062262
                     59,                0.53729,                0.32243,                0.80851,                0.99052,                0.98931,                0.99474,                0.90684,                0.49257,                0.28035,                0.80578,             0.00060847,             0.00060847,             0.00060847
                     60,                0.52947,                0.32287,                0.80998,                0.99478,                 0.9883,                0.99373,                0.92329,                0.41976,                0.26346,                 0.7995,             0.00059432,             0.00059432,             0.00059432
                     61,                0.53415,                0.31845,                0.80547,                0.99726,                0.98961,                0.99402,                0.92281,                 0.4366,                 0.2739,                0.79922,             0.00058017,             0.00058017,             0.00058017
                     62,                0.51968,                0.31923,                0.80266,                0.99517,                0.98451,                0.99416,                0.92032,                 0.4204,                0.26179,                 0.7958,             0.00056603,             0.00056603,             0.00056603
                     63,                0.52055,                0.32035,                0.80349,                0.99737,                0.98705,                0.99411,                0.92375,                0.40874,                0.26222,                0.79763,             0.00055188,             0.00055188,             0.00055188
                     64,                0.50181,                0.31021,                0.80125,                0.99873,                0.98613,                  0.994,                0.92199,                0.42093,                0.26368,                0.79808,             0.00053773,             0.00053773,             0.00053773
                     65,                0.51506,                0.31462,                0.80313,                0.99416,                 0.9858,                0.99412,                  0.934,                0.40026,                0.25929,                0.79595,             0.00052359,             0.00052359,             0.00052359
                     66,                0.50702,                 0.3093,                 0.8044,                0.99887,                0.98671,                0.99486,                0.92149,                0.44139,                0.26202,                0.80049,             0.00050944,             0.00050944,             0.00050944
                     67,                0.51035,                0.31023,                0.80649,                0.99521,                0.98599,                  0.994,                0.93122,                0.40164,                 0.2506,                0.79655,             0.00049529,             0.00049529,             0.00049529
                     68,                0.50833,                0.31314,                0.80518,                0.99546,                 0.9862,                0.99402,                0.92907,                0.40832,                0.25972,                0.79599,             0.00048114,             0.00048114,             0.00048114
                     69,                0.48941,                0.30521,                0.80105,                0.99544,                0.98638,                0.99406,                0.93117,                0.39376,                0.25452,                0.79432,               0.000467,               0.000467,               0.000467
                     70,                0.49935,                0.30596,                0.80083,                0.99475,                0.98883,                0.99358,                 0.9288,                0.42999,                0.26135,                 0.7975,             0.00045285,             0.00045285,             0.00045285
                     71,                0.49882,                0.30429,                 0.7996,                0.99894,                0.98671,                0.99396,                0.92499,                0.43712,                 0.2632,                0.79984,              0.0004387,              0.0004387,              0.0004387
                     72,                0.49316,                 0.3034,                 0.8015,                0.99897,                0.98631,                0.99406,                0.94113,                0.38982,                0.24913,                0.79559,             0.00042456,             0.00042456,             0.00042456
                     73,                0.49222,                0.30087,                0.79874,                0.99543,                0.98671,                0.99417,                0.93492,                0.40232,                0.25248,                0.79359,             0.00041041,             0.00041041,             0.00041041
                     74,                0.49189,                0.30059,                 0.7989,                0.99729,                0.98607,                0.99472,                0.94357,                0.36603,                0.23986,                0.79111,             0.00039626,             0.00039626,             0.00039626
                     75,                 0.4677,                0.29248,                0.80051,                0.99568,                0.98649,                0.99406,                0.93321,                0.40412,                0.24932,                0.79553,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.4743,                0.29238,                0.79833,                0.99833,                0.98671,                0.99414,                0.94109,                0.38739,                  0.248,                0.79504,             0.00036797,             0.00036797,             0.00036797
