                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.46306,                0.29321,                 0.7915,                0.99957,                      1,                  0.995,                0.95476,                0.31698,                0.21774,                 0.7775,               0.006337,               0.006337,               0.006337
                     39,                0.45571,                0.28395,                  0.791,                      1,                0.99984,                  0.995,                0.96565,                0.28208,                0.20177,                0.77618,               0.006238,               0.006238,               0.006238
                     40,                0.44487,                0.28511,                 0.7898,                      1,                0.99991,                  0.995,                0.96483,                0.29053,                0.20555,                0.77618,               0.006139,               0.006139,               0.006139
                     41,                0.44662,                0.28145,                0.79471,                0.99971,                      1,                  0.995,                0.96621,                0.28747,                0.19922,                 0.7758,                0.00604,                0.00604,                0.00604
                     42,                 0.4422,                0.27794,                0.78679,                 0.9997,                      1,                  0.995,                0.96483,                0.28604,                0.20033,                0.77527,               0.005941,               0.005941,               0.005941
                     43,                0.42798,                0.27414,                0.78758,                0.99963,                      1,                  0.995,                0.96487,                0.28364,                0.20077,                0.77358,               0.005842,               0.005842,               0.005842
                     44,                0.42531,                0.27156,                0.78989,                 0.9999,                      1,                  0.995,                0.96931,                0.27495,                0.19505,                0.77443,               0.005743,               0.005743,               0.005743
                     45,                0.43332,                0.27391,                0.78586,                0.99967,                      1,                  0.995,                0.96393,                0.29624,                0.19762,                0.77443,               0.005644,               0.005644,               0.005644
                     46,                0.40934,                0.26624,                0.78406,                0.99972,                      1,                  0.995,                0.97095,                0.26056,                0.18708,                0.77236,               0.005545,               0.005545,               0.005545
                     47,                0.42225,                0.26823,                0.78972,                0.99971,                      1,                  0.995,                0.97563,                0.25431,                0.18533,                0.77353,               0.005446,               0.005446,               0.005446
                     48,                0.41019,                0.26416,                0.78412,                0.99977,                      1,                  0.995,                0.96476,                0.28821,                0.19557,                0.77448,               0.005347,               0.005347,               0.005347
                     49,                0.41454,                0.26554,                0.78727,                0.99953,                      1,                  0.995,                0.97431,                0.26325,                0.18647,                0.77309,               0.005248,               0.005248,               0.005248
                     50,                0.41032,                0.26218,                 0.7857,                0.99968,                      1,                  0.995,                 0.9695,                0.26323,                 0.1866,                0.77274,               0.005149,               0.005149,               0.005149
                     51,                0.39352,                 0.2543,                 0.7861,                0.99976,                      1,                  0.995,                0.96599,                0.28499,                0.19471,                0.77281,                0.00505,                0.00505,                0.00505
                     52,                0.39669,                0.25783,                0.78567,                0.99979,                      1,                  0.995,                  0.973,                0.25132,                0.18097,                0.77183,               0.004951,               0.004951,               0.004951
                     53,                0.39748,                0.25698,                0.78482,                0.99975,                      1,                  0.995,                0.97808,                0.24291,                0.17998,                0.77208,               0.004852,               0.004852,               0.004852
                     54,                0.39549,                0.25325,                0.78398,                0.99974,                      1,                  0.995,                0.96281,                0.29568,                0.19437,                0.77393,               0.004753,               0.004753,               0.004753
                     55,                 0.3841,                0.25117,                0.78363,                0.99975,                      1,                  0.995,                 0.9782,                0.24978,                0.17921,                0.77263,               0.004654,               0.004654,               0.004654
                     56,                 0.3824,                0.25107,                0.78301,                0.99976,                      1,                  0.995,                0.97759,                0.26442,                0.17813,                0.77278,               0.004555,               0.004555,               0.004555
                     57,                0.37921,                0.24778,                0.78405,                0.99981,                      1,                  0.995,                0.97832,                0.24321,                0.17564,                0.77127,               0.004456,               0.004456,               0.004456
